"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Dec 13 19:40:46 GMT 2024","Fri Dec 13 19:40:46 GMT 2024","306","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""p"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 19:40:31 GMT 2024","Fri Dec 13 19:40:31 GMT 2024","314","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""m"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 19:38:12 GMT 2024","Fri Dec 13 19:38:12 GMT 2024","296","webkit","","Unauthorized user","","","TC_09_02_02|  Verify unauthorized user can search occupied domains (no filters)",""
"failed","Fri Dec 13 19:40:41 GMT 2024","Fri Dec 13 19:40:41 GMT 2024","311","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""o"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 19:39:22 GMT 2024","Fri Dec 13 19:39:22 GMT 2024","303","webkit","","Unauthorized user","","","TC_09_04_02 | Verify unauthorised user is redirected to the Login Page from the OV subscription SSL Сertificates",""
"failed","Fri Dec 13 19:34:37 GMT 2024","Fri Dec 13 19:34:37 GMT 2024","303","webkit","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.",""
"failed","Fri Dec 13 19:35:21 GMT 2024","Fri Dec 13 19:35:22 GMT 2024","322","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields TXT",""
"failed","Fri Dec 13 19:34:14 GMT 2024","Fri Dec 13 19:34:14 GMT 2024","299","webkit","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters",""
"failed","Fri Dec 13 19:36:40 GMT 2024","Fri Dec 13 19:36:40 GMT 2024","297","webkit","","Help Center","","","TC_07_02_01 | Verify the user can navigate through the Knowledge Base sections",""
"failed","Fri Dec 13 19:37:47 GMT 2024","Fri Dec 13 19:37:48 GMT 2024","305","webkit","","Unauthorized user","","","TC_09_01_04|  Verify that non authorized user can navigate through  SSLCertificates page",""
"failed","Fri Dec 13 19:42:00 GMT 2024","Fri Dec 13 19:42:00 GMT 2024","302","webkit","","Contact Us","","","TC_09_06_04 | Verify unauthorized users can submit the ""Contact Us"" form for ""Pre-Sales"" Type",""
"failed","Fri Dec 13 19:42:58 GMT 2024","Fri Dec 13 19:42:59 GMT 2024","293","webkit","","Report Abuse submission for each type of report","","","TC_09_07_02| Verify unauthorized user can submit the ""Report Abuse"" form for Malware, Botnets & Spam",""
"failed","Fri Dec 13 19:38:37 GMT 2024","Fri Dec 13 19:38:37 GMT 2024","295","webkit","","Unauthorized user","","","TC_09_03_01| Verify unauthorized user can open modal window with filters for advanced search",""
"failed","Fri Dec 13 19:34:44 GMT 2024","Fri Dec 13 19:34:44 GMT 2024","301","webkit","","Search domains","","","TC_04_09_01 | Verify user can search the registered domain",""
"failed","Fri Dec 13 19:37:21 GMT 2024","Fri Dec 13 19:37:21 GMT 2024","317","webkit","","My profile","","","TC_08_04_02 |  Verify user receives notifications after Account deletion is canceled",""
"failed","Fri Dec 13 19:40:06 GMT 2024","Fri Dec 13 19:40:06 GMT 2024","293","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""h"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"skipped","Fri Dec 13 19:34:51 GMT 2024","Fri Dec 13 19:34:51 GMT 2024","0","webkit","","DNS Records","","","TC_04_11 | ""Add new DNS-record modal - verify copy button adds text to clipboard.",""
