"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Dec 13 19:57:28 GMT 2024","Fri Dec 13 19:57:28 GMT 2024","299","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""j"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 19:58:07 GMT 2024","Fri Dec 13 19:58:07 GMT 2024","299","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""r"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 19:56:54 GMT 2024","Fri Dec 13 19:56:54 GMT 2024","285","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""c"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 19:55:06 GMT 2024","Fri Dec 13 19:55:06 GMT 2024","303","webkit","","Unauthorized user","","","TC_09_01_05|  Verify that non authorized user can navigate through  Blog page",""
"failed","Fri Dec 13 19:52:58 GMT 2024","Fri Dec 13 19:52:58 GMT 2024","336","webkit","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields TXT. Ignored optional fields",""
"failed","Fri Dec 13 20:00:08 GMT 2024","Fri Dec 13 20:00:08 GMT 2024","289","webkit","","Report Abuse submission for each type of report","","","TC_09_07_02| Verify unauthorized user can submit the ""Report Abuse"" form for Malware, Botnets & Spam",""
"failed","Fri Dec 13 19:51:57 GMT 2024","Fri Dec 13 19:51:57 GMT 2024","305","webkit","","Search domains","","","TC_04_09_01 | Verify user can search the registered domain",""
"failed","Fri Dec 13 20:00:03 GMT 2024","Fri Dec 13 20:00:04 GMT 2024","304","webkit","","Report Abuse submission for each type of report","","","TC_09_07_01| Verify unauthorized user can submit the ""Report Abuse"" form for DMCA, Copyright & Trademark Complaints",""
"failed","Fri Dec 13 19:56:44 GMT 2024","Fri Dec 13 19:56:45 GMT 2024","286","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""a"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 19:55:20 GMT 2024","Fri Dec 13 19:55:21 GMT 2024","282","webkit","","Unauthorized user","","","TC_09_01_08|  Verify that non authorized user can navigate through  ContactUs page",""
